date,id,program
11/6/2024,C02,Welding Technology
11/6/2024,C03,Architecture and Engineering Design Technology
11/6/2024,B05,Diesel Service Technology
11/6/2024,B04,Health Science- Pre-Professional
11/6/2024,A03,Diesel Service Technology
11/6/2024,A03,Diesel Service Technology
11/6/2024,A05,Media Communications and Broadcasting
11/6/2024,A06,Diesel Service Technology
11/6/2024,B06,Electrical Technology
11/6/2024,A04,Automotive Service Technology
11/6/2024,A02,Health Science- Pre-Professional
11/6/2024,B07,Architecture and Engineering Design Technology
11/6/2024,C05,Automotive Service Technology
11/6/2024,A08,Diesel Service Technology
11/6/2024,C06,Architecture and Engineering Design Technology
11/6/2024,B09,Diesel Service Technology
11/6/2024,C08,Architecture and Engineering Design Technology
11/6/2024,B0A,Architecture and Engineering Design Technology
11/6/2024,C05,Automotive Service Technology
11/6/2024,A03,Automotive Service Technology
11/6/2024,C07,Health Science- Pre-Professional
11/6/2024,A0A,Health Science- Pre-Professional
11/6/2024,C0A,Health Science- Pre-Professional
11/6/2024,C09,Health Science- Pre-Professional
11/6/2024,B0B,Electrical Technology
11/6/2024,C0D,Precision Machine Metalworking Technology
11/6/2024,C0C,Precision Machine Metalworking Technology
11/6/2024,B06,Building Construction Technology
11/6/2024,B0E,Graphic Communications Digital Media
11/6/2024,C05,Automotive Service Technology
11/6/2024,A0E,Diesel Service Technology
11/6/2024,A0B,Building Construction Technology
11/6/2024,C0E,Public Safety Criminal Justice
11/6/2024,C0D,Welding Technology
11/6/2024,C0C,Welding Technology
11/6/2024,A08,Precision Machine Metalworking Technology
11/6/2024,C10,Media Communications and Broadcasting
11/6/2024,A03,Automotive Service Technology
11/6/2024,B0C,Health Science- Exercise Science
11/6/2024,B0F,HVAC -R and Energy Systems
11/6/2024,A04,Automotive Collision Repair Technology
11/6/2024,A03,Diesel Service Technology
11/6/2024,B0D,Automotive Service Technology
11/6/2024,C05,Automotive Service Technology
11/6/2024,C11,HVAC -R and Energy Systems
11/6/2024,A0D,Automotive Service Technology
11/6/2024,B10,Automotive Collision Repair Technology
11/6/2024,A10,Public Safety Criminal Justice
11/6/2024,B11,Public Safety Criminal Justice
11/6/2024,B12,Public Safety Criminal Justice
11/6/2024,C02,Automotive Collision Repair Technology
11/6/2024,A0E,Automotive Service Technology
11/6/2024,C13,Health Science- Pre-Professional
11/6/2024,A03,Automotive Collision Repair Technology
11/6/2024,B0A,Precision Machine Metalworking Technology
11/6/2024,B14,Public Safety Criminal Justice
11/6/2024,C14,Health Science- Pre-Professional
11/6/2024,C15,Electrical Technology
11/6/2024,C14,Health Science- Pre-Professional
11/6/2024,A11,Health Science- Pre-Professional
11/6/2024,A12,Health Science- Pre-Professional
11/6/2024,A14,Public Safety Criminal Justice
11/6/2024,B13,Health Science- Pre-Professional
11/6/2024,B0B,HVAC -R and Energy Systems
11/6/2024,C18,Culinary Arts
11/6/2024,A13,Health Science- Pre-Professional
11/6/2024,C17,Electrical Technology
11/6/2024,A15,Culinary Arts
11/6/2024,B17,Electrical Technology
11/6/2024,B0E,Computer Science Software Development
11/6/2024,A04,Precision Machine Metalworking Technology
11/6/2024,B16,Precision Machine Metalworking Technology
11/6/2024,A14,Culinary Arts
11/6/2024,A0F,Building Construction Technology
11/6/2024,C06,Precision Machine Metalworking Technology
11/6/2024,B10,Automotive Service Technology
11/6/2024,C08,Precision Machine Metalworking Technology
11/6/2024,A03,Electrical Technology
11/6/2024,A0E,Automotive Collision Repair Technology
11/6/2024,B06,Welding Technology
11/6/2024,C18,Media Communications and Broadcasting
11/6/2024,B04,Health Science- Exercise Science
11/6/2024,B19,Culinary Arts
11/6/2024,B12,Public Safety Criminal Justice
11/6/2024,B0F,Welding Technology
11/6/2024,A0F,Welding Technology
11/6/2024,A16,Culinary Arts
11/6/2024,A08,Welding Technology
11/6/2024,C0F,Building Construction Technology
11/6/2024,A0C,Electrical Technology
11/6/2024,C11,Electrical Technology
11/6/2024,C1C,Precision Machine Metalworking Technology
11/6/2024,B1A,Automotive Service Technology
11/6/2024,B18,Public Safety Criminal Justice
11/6/2024,B0C,Health Science- Exercise Science
11/6/2024,C15,Welding Technology
11/6/2024,B1A,Diesel Service Technology
11/6/2024,A1A,Electrical Technology
11/6/2024,C1B,Health Science- Pre-Professional
11/6/2024,C05,Electrical Technology
11/6/2024,C1C,Welding Technology
11/6/2024,B1B,Health Science- Pre-Professional
11/6/2024,A18,Public Safety Criminal Justice
11/6/2024,A10,Culinary Arts
11/6/2024,C0D,Diesel Service Technology
11/6/2024,C0C,Diesel Service Technology
11/6/2024,A18,Architecture and Engineering Design Technology
11/6/2024,A1A,HVAC -R and Energy Systems
11/6/2024,C1E,Welding Technology
11/6/2024,B16,Health Science- Pre-Professional
11/6/2024,C0F,Automotive Service Technology
11/6/2024,B08,Building Construction Technology
11/6/2024,B17,Electrical Technology
11/6/2024,A0E,Precision Machine Metalworking Technology
11/6/2024,B17,Electrical Technology
11/6/2024,B08,Electrical Technology
11/6/2024,C1D,Media Communications and Broadcasting
11/6/2024,A09,Public Safety Criminal Justice
11/6/2024,B1D,Building Construction Technology
11/6/2024,B1C,Media Communications and Broadcasting
11/6/2024,B08,Advanced Manufacturing Technology
11/6/2024,B04,Health Science- Pre-Professional
11/6/2024,B1D,Electrical Technology
11/6/2024,B0E,Cyber Security
11/6/2024,A0F,Diesel Service Technology
11/6/2024,C10,Welding Technology
11/6/2024,BT8,Building Construction Technology
11/6/2024,B0C,Welding Technology
11/6/2024,A0C,Welding Technology
11/6/2024,B07,Building Construction Technology
11/6/2024,B10,Diesel Service Technology
11/6/2024,B0D,Health Science- Pre-Professional
11/6/2024,A0D,Building Construction Technology
11/6/2024,C22,Health Science- Exercise Science
11/6/2024,A20,Building Construction Technology
11/6/2024,B0D,Building Construction Technology
11/6/2024,C15,Building Construction Technology
11/6/2024,B20,Electrical Technology
11/6/2024,C03,Cyber Security
11/6/2024,C1C,Electrical Technology
11/6/2024,A20,Welding Technology
11/6/2024,B21,Welding Technology
11/6/2024,A06,Welding Technology
11/6/2024,B1F,Architecture and Engineering Design Technology
11/6/2024,B20,Building Construction Technology
11/6/2024,C1E,Diesel Service Technology
11/6/2024,C1C,Diesel Service Technology
11/6/2024,A10,Health Science- Pre-Professional
11/6/2024,B0C,Diesel Service Technology
11/6/2024,A1D,Public Safety Criminal Justice
11/6/2024,A0C,Diesel Service Technology
11/6/2024,C25,Welding Technology
11/6/2024,A18,Cyber Security
11/6/2024,A22,Automotive Service Technology
11/6/2024,C25,Welding Technology
11/6/2024,A0E,Welding Technology
11/6/2024,B15,Welding Technology
11/6/2024,B1D,Welding Technology
11/6/2024,C0C,Architecture and Engineering Design Technology
11/6/2024,A22,Automotive Service Technology
11/6/2024,B25,Culinary Arts
11/6/2024,B11,Veterinary Science
11/6/2024,A1C,Computer Science Software Development
11/6/2024,B05,Automotive Service Technology
11/6/2024,C0D,Automotive Service Technology
11/6/2024,C20,Electrical Technology
11/6/2024,C1F,Computer Science Software Development
11/6/2024,C23,Veterinary Science
11/6/2024,C23,Veterinary Science
11/6/2024,A24,Automotive Service Technology
11/6/2024,C03,Computer Science Software Development
11/6/2024,A11,Culinary Arts
11/6/2024,B0D,Welding Technology
11/6/2024,A0D,Welding Technology
11/6/2024,C27,Cyber Security
11/6/2024,A12,Culinary Arts
11/6/2024,B23,Architecture and Engineering Design Technology
11/6/2024,C27,Computer Science Software Development
11/6/2024,A23,Culinary Arts
11/6/2024,B1F,Architecture and Engineering Design Technology
11/6/2024,A24,Computer Science Software Development
11/6/2024,B26,Architecture and Engineering Design Technology
11/6/2024,C24,Diesel Service Technology
11/6/2024,B13,Media Communications and Broadcasting
11/6/2024,C24,Diesel Service Technology
11/6/2024,C24,Automotive Service Technology
11/6/2024,C29,Architecture and Engineering Design Technology
11/6/2024,A25,Cyber Security
11/6/2024,B1B,Health Science- Exercise Science
11/6/2024,A25,Computer Science Software Development
11/6/2024,C21,Electrical Technology
11/6/2024,C0D,Automotive Collision Repair Technology
11/6/2024,C24,Diesel Service Technology
11/6/2024,C21,Electrical Technology
11/6/2024,C1E,Automotive Service Technology
11/6/2024,C0C,Automotive Collision Repair Technology
11/6/2024,A1C,HVAC -R and Energy Systems
11/6/2024,A26,Welding Technology
11/6/2024,A27,Health Science- Exercise Science
11/6/2024,B29,Health Science- Exercise Science
11/6/2024,A0D,Welding Technology
11/6/2024,B22,Public Safety Criminal Justice
11/6/2024,B0D,Welding Technology
11/6/2024,B05,Automotive Collision Repair Technology
11/6/2024,C16,Health Science- Pre-Professional
11/6/2024,B0D,Architecture and Engineering Design Technology
11/6/2024,A0D,Architecture and Engineering Design Technology
11/6/2024,A13,Health Science- Exercise Science
11/6/2024,B2A,Public Safety Criminal Justice
11/6/2024,A29,Public Safety Criminal Justice
11/6/2024,A29,Public Safety Criminal Justice
11/6/2024,C24,Building Construction Technology
11/6/2024,C2A,Architecture and Engineering Design Technology
11/6/2024,A0C,Automotive Service Technology
11/6/2024,C2B,Automotive Collision Repair Technology
